Cell_ID,X,Y,TACIT,Group.x,UMAP1,UMAP2
S2P1_10000,2772.3,3481.7,Acini,S2P1_1,0.088506178,4.837003192
S2P1_10001,2724.9,3481.7,Others,S2P1_1,-3.433837488,-2.645190278
S2P1_10002,2864.9,3481.4,Acini,S2P1_1,-1.176747396,3.984956464
S2P1_10003,2940.8,3484,Others,S2P1_1,-2.449515655,-2.029858389
S2P1_10004,2958.8,3486.9,VEC Progen,S2P1_1,-1.664786174,-3.119075814
S2P1_10005,2718.4,3484.3,VEC Progen,S2P1_1,-1.169068411,-5.036222973
S2P1_10006,2858.5,3484.5,Acini,S2P1_1,-0.956531956,3.439509353
S2P1_10007,2916.5,3483.7,DC cells,S2P1_1,-0.4836566,-5.792907277
S2P1_10009,2687.1,3481.7,VEC Progen,S2P1_1,0.55605513,-6.056064644
S2P1_10010,2653.5,3483.8,VEC Progen,S2P1_1,1.151384935,-6.82345871
S2P1_10011,2668.9,3485.2,VEC Progen,S2P1_1,1.476000593,-7.9099255
S2P1_10012,2851.3,3485.9,Acini,S2P1_1,0.470324897,5.348321399
S2P1_10014,2698.8,3484.4,Fibroblast,S2P1_1,2.48706083,-3.834577838
S2P1_10015,2710,3485.3,VEC Progen,S2P1_1,0.6800531,-2.951269427
S2P1_10016,2828.8,3486.1,VEC Progen,S2P1_1,-0.090546205,-6.439192334
S2P1_10017,2879.5,3488.8,Acini,S2P1_1,-1.637140348,4.470818004
S2P1_10019,2754.9,3485.5,Others,S2P1_1,-1.896021679,1.0402055
S2P1_10022,2687.6,3488.2,VEC Progen,S2P1_1,1.827038214,-7.605571309
S2P1_10023,2778.8,3487,Others,S2P1_1,-2.567486122,4.267986259
S2P1_10025,2868.6,3489.4,Others,S2P1_1,-3.479210212,-2.730915347
S2P1_10027,2918.3,3489.9,LECs,S2P1_1,3.526852295,0.640486261
S2P1_10028,2763.5,3495.6,LECs,S2P1_1,-2.059645488,1.613181314
S2P1_10029,2950.2,3492.7,VEC Progen,S2P1_1,-2.730419233,-2.36085681
S2P1_10032,2651.6,3492.3,DN,S2P1_1,2.994070456,-4.002395669
S2P1_10033,2924.1,3491.4,LECs,S2P1_1,-0.157399907,0.234413153
S2P1_10034,2931.9,3491.5,VEC Progen,S2P1_1,0.400905163,-7.19917635
S2P1_10036,2698.6,3492.1,DN,S2P1_1,1.812073157,-3.342558661
S2P1_10037,2742,3492,Fibroblast,S2P1_1,-1.833241775,-3.791149893
S2P1_10038,2905.8,3493.1,Acini,S2P1_1,-1.67589505,3.639320096
S2P1_10041,2671.4,3496.5,DN,S2P1_1,2.093268559,-7.239643612
