Cell_ID,X,Y,TACIT,Group.x,UMAP1,UMAP2
S5P2_44419,5103.7,28432.9,Fibroblast,S5P1_2,-4.481714833,3.431953036
S5P2_44420,4886.6,28432.6,Fibroblast,S5P1_2,-5.13434993,0.229868808
S5P2_44421,5059.1,28431.3,Fibroblast,S5P1_2,-5.058128464,0.229393282
S5P2_44422,5083.8,28429.4,VEC,S5P1_2,-4.763797868,4.062029922
S5P2_44423,5190.2,28436.5,Fibroblast,S5P1_2,-4.142965424,1.832799279
S5P2_44424,4813.2,28432.4,Others,S5P1_2,-8.188118565,-2.445262349
S5P2_44425,4960.9,28435.5,Others,S5P1_2,-8.314431775,-2.345111049
S5P2_44426,4944,28440.1,Others,S5P1_2,-7.586041558,-2.355229295
S5P2_44427,5075,28437.3,Fibroblast,S5P1_2,-2.880039561,1.31919595
S5P2_44428,5093.7,28440,Fibroblast,S5P1_2,-4.748529542,0.98916831
S5P2_44429,5041.9,28444.1,Acini,S5P1_2,4.172486198,-4.422351277
S5P2_44430,4990.1,28438.4,Others,S5P1_2,-7.878129113,-2.456871665
S5P2_44431,5023.1,28444.8,Others,S5P1_2,3.543478858,-3.350168384
S5P2_44432,4815.7,28443.3,Others,S5P1_2,-8.050884354,-2.828662551
S5P2_44433,5010.3,28441.1,Fibroblast,S5P1_2,-5.632188904,-0.181671939
S5P2_44434,4882,28445.5,Others,S5P1_2,-7.590091336,-1.925654567
S5P2_44435,4906.2,28449.6,Others,S5P1_2,-7.424241173,-1.003301061
S5P2_44436,4955.6,28452.1,Others,S5P1_2,-8.163733113,-2.364450849
S5P2_44437,5073.8,28451.3,Th,S5P1_2,-2.435734141,1.20846101
S5P2_44438,5089.7,28453.1,Fibroblast,S5P1_2,-4.37327205,3.610566699
S5P2_44439,4810.9,28451.2,Others,S5P1_2,-8.23365556,-2.270597852
S5P2_44440,5064.1,28446,Fibroblast,S5P1_2,-2.298236001,1.766211712
S5P2_44441,5109.3,28448.5,VEC,S5P1_2,-4.702338326,3.690002048
S5P2_44442,4885.9,28455,Others,S5P1_2,-7.85464536,-2.371843732
S5P2_44443,5056.1,28453.9,Others,S5P1_2,3.641852987,-3.761594451
S5P2_44444,4987.4,28455.4,Others,S5P1_2,3.810597312,-4.419727242
S5P2_44445,4972.7,28457.4,Others,S5P1_2,3.7958063,-4.353748715
S5P2_44446,4997.4,28456.4,Others,S5P1_2,3.961707961,-4.435921109
S5P2_44447,5122.3,28455.1,Th,S5P1_2,-1.69544946,0.99747225
S5P2_44448,5176.4,28452.2,Acini,S5P1_2,7.605233562,-1.263129628
S5P2_44449,4895,28463.4,Others,S5P1_2,-7.889778722,-1.760445393
