Cell_ID,X,Y,TACIT,Group.x,UMAP1,UMAP2
S5P1_1,4610.5,4654.3,Others,S5P1_1,6.519826014,0.625701539
S5P1_10,4613.9,4688.8,Acini,S5P1_1,-2.771737736,-3.709866651
S5P1_100,4420.1,4827.3,Fibroblast,S5P1_1,6.75717314,-1.685224779
S5P1_1000,5000.5,4577.4,Acini,S5P1_1,-5.823445242,-2.274783977
S5P1_10000,4965.7,6065.7,Myoepithelial,S5P1_1,-1.963447254,4.836984746
S5P1_10001,4663.6,6077,VEC Progen,S5P1_1,6.722089369,-2.796000846
S5P1_10002,4684,6067.1,Fibroblast,S5P1_1,6.698257525,-2.693813451
S5P1_10003,4768.3,6070.8,Acini,S5P1_1,-4.828666609,-0.356549122
S5P1_10004,4649.7,6070.1,Fibroblast,S5P1_1,7.447273809,-3.483639606
S5P1_10005,4673.4,6067.7,Others,S5P1_1,5.277622778,5.908226601
S5P1_10006,4632.2,6075.2,Ducts,S5P1_1,-0.189067166,-2.609020122
S5P1_10007,4823.7,6071.7,Acini,S5P1_1,-5.169884603,-2.877284177
S5P1_10008,4925.9,6075.7,Treg,S5P1_1,-3.123511951,3.500741832
S5P1_10009,5018,6073.8,Others,S5P1_1,5.40654524,5.438416592
S5P1_1001,5139,4581.1,Myoepithelial,S5P1_1,-2.623903912,3.935086362
S5P1_10010,5002.3,6071.5,Fibroblast,S5P1_1,8.016534884,-5.567115672
S5P1_10011,4893.9,6074.3,Myoepithelial,S5P1_1,-3.080858629,2.927500121
S5P1_10012,5067.2,6073,Others,S5P1_1,5.079847414,5.311973683
S5P1_10013,4798.5,6076.4,Myoepithelial,S5P1_1,-3.460164707,0.88849955
S5P1_10014,4914.2,6070.3,Others,S5P1_1,3.840267975,2.196594111
S5P1_10015,4976.1,6074.1,Treg,S5P1_1,4.473916132,1.859614841
S5P1_10016,4905.3,6071.2,VEC Progen,S5P1_1,5.278169233,1.340218179
S5P1_10017,4675.3,6080.6,VEC,S5P1_1,6.527305204,-0.869850762
S5P1_10018,4837.5,6077.5,Myoepithelial,S5P1_1,-3.987362307,1.029088609
S5P1_10019,4689.7,6080.7,Fibroblast,S5P1_1,6.463444311,-2.460936196
S5P1_1002,5186.2,4582.8,VEC Progen,S5P1_1,-6.722391527,-1.281340249
S5P1_10020,5003,6084.7,Others,S5P1_1,6.441605169,0.664580457
S5P1_10021,4810.2,6084.8,Acini,S5P1_1,-4.463312548,-4.049934514
S5P1_10022,4819.6,6082.9,Myoepithelial,S5P1_1,-3.186262768,-0.972535201
S5P1_10023,4910.3,6084.6,Myoepithelial,S5P1_1,-1.308869045,3.708584182
