Cell_ID,X,Y,TACIT,Group.x,UMAP1,UMAP2
S3P1_15060,7706,5002.1,Others,S3P1_2,-5.099396888,2.604909609
S3P1_15063,7517.2,5001.2,Others,S3P1_2,-6.546860877,4.854433964
S3P1_15064,7647.7,5000.9,Others,S3P1_2,-4.813740913,1.431381177
S3P1_15065,7491.2,5004.5,Others,S3P1_2,-4.438190166,-0.224271458
S3P1_15066,7432.6,5008.3,Others,S3P1_2,-4.981974784,-6.093381931
S3P1_15067,7539.1,5003.9,Others,S3P1_2,-4.568754379,0.171251665
S3P1_15068,7456.2,5005.2,Others,S3P1_2,-5.274008933,3.272488068
S3P1_15069,7589,5011.1,Others,S3P1_2,-4.79381055,-4.384036113
S3P1_15070,7654.8,5012.6,Others,S3P1_2,-5.086035911,2.629192542
S3P1_15071,7726.4,5008.9,Others,S3P1_2,-4.566737358,0.435912202
S3P1_15072,7520,5012.8,Others,S3P1_2,-6.362863246,4.551907013
S3P1_15073,7499.5,5016.2,Others,S3P1_2,-4.658759777,-4.727708866
S3P1_15074,7531.6,5010.2,Others,S3P1_2,-4.658364955,0.946403693
S3P1_15075,7574,5014.1,Others,S3P1_2,-4.53769416,0.81316496
S3P1_15076,7549.3,5017.9,Others,S3P1_2,-4.734853927,-3.554100324
S3P1_15077,7607.6,5014.2,Others,S3P1_2,-4.427640621,-0.221900043
S3P1_15078,7460.7,5019.6,Others,S3P1_2,-5.135458175,2.791522454
S3P1_15079,7526.7,5025,Others,S3P1_2,-5.122441474,2.277271222
S3P1_15080,7445.6,5021.5,Others,S3P1_2,-4.43032283,-0.228532892
S3P1_15081,7635.9,5018.4,Others,S3P1_2,-4.437035743,-0.226145637
S3P1_15082,7511.2,5025.5,Others,S3P1_2,-4.496465866,-1.843636919
S3P1_15083,7600,5025.7,Others,S3P1_2,-5.625320617,4.156711052
S3P1_15084,7537.5,5031.1,Others,S3P1_2,-5.485004608,3.48317356
S3P1_15085,7631.3,5027.6,Others,S3P1_2,-4.541447822,-0.109908725
S3P1_15086,7643.8,5031.1,Others,S3P1_2,-4.422648612,-2.334949066
S3P1_15087,7471.8,5027.3,Others,S3P1_2,-4.528657619,0.66317458
S3P1_15088,7618.1,5030.8,Others,S3P1_2,-4.776499931,-3.879664709
S3P1_15089,7432.6,5029.8,Others,S3P1_2,-5.079103652,-5.869627525
S3P1_15090,7514.2,5037.3,VEC Progen,S3P1_2,-6.04930133,5.059315632
S3P1_15091,7687.4,5035.4,Others,S3P1_2,-6.117799941,2.719376038
S3P1_15092,7480.9,5039.6,Others,S3P1_2,-4.630080882,0.935623478
S3P1_15093,7435.5,5045.2,Others,S3P1_2,-8.586894218,0.876154255
S3P1_15094,7596,5041,Others,S3P1_2,-4.437464897,-0.181339641
S3P1_15095,7645.3,5041,Others,S3P1_2,-5.094279472,2.587112855
S3P1_15096,7524.7,5045.3,Others,S3P1_2,-6.703847591,5.735776375
S3P1_15097,7579.1,5044.4,Others,S3P1_2,-5.196686927,2.959227036
S3P1_15098,7644.5,5052.8,Others,S3P1_2,-4.572290603,0.360116701
S3P1_15099,7588.3,5056.6,Others,S3P1_2,-5.109457675,2.643573235
S3P1_15100,7611,5051.5,Others,S3P1_2,-4.601721469,-5.356778194
S3P1_15101,7625.2,5057.5,Others,S3P1_2,-4.14499015,-4.059292842
S3P1_15102,7554.5,5055.8,Others,S3P1_2,-4.586895172,0.924211572
S3P1_15103,7523.2,5059.7,Others,S3P1_2,-5.07605714,-5.934700538
S3P1_15104,7579.9,5067,Others,S3P1_2,-4.577562992,1.04479761
S3P1_15105,7539.8,5067.5,Others,S3P1_2,-4.708267871,-6.16449361
S3P1_15106,7558.1,5070,Others,S3P1_2,-4.846098129,-6.075736572
S3P1_15107,7479.3,5072.1,Others,S3P1_2,-5.088323299,-6.02431779
S3P1_15108,7522.2,5076.8,Others,S3P1_2,-5.060385887,-6.078933288
S3P1_15109,7508.1,5079.9,Others,S3P1_2,-5.059450809,-6.093036224
S3P1_15110,7530.8,5078.2,Others,S3P1_2,-5.060761157,-6.047068168
S3P1_15111,7550.3,5089,Others,S3P1_2,-5.04686803,-6.054588367
S3P1_15112,7528.9,5091.6,Others,S3P1_2,-5.050925914,-6.076886703
S3P1_15113,7538.1,5094.9,Others,S3P1_2,-5.680715267,4.168706845
S3P1_16483,4020.5,5802.9,Others,S3P1_2,-4.935479824,-6.337777187
S3P1_16484,4033.3,5810,Others,S3P1_2,-4.959152404,-6.323627998
S3P1_16485,4010.3,5813.4,Others,S3P1_2,-4.966364089,-6.379428436
S3P1_16486,3994,5810.8,Others,S3P1_2,-4.980471794,-6.294889499
S3P1_16487,3975.9,5825.1,Others,S3P1_2,-5.056293193,-5.967007686
S3P1_16488,3965.3,5825.4,Others,S3P1_2,-4.977155868,-6.300691177
S3P1_16489,3958.3,5837.2,Others,S3P1_2,-4.912699882,-6.392389823
S3P1_16490,4018.6,5837.1,Others,S3P1_2,-3.475636426,-4.932251979
S3P1_16491,3963.2,5848.7,Others,S3P1_2,-4.832253639,-6.423725177
S3P1_16492,4011,5852.5,VEC,S3P1_2,2.723108824,-1.377773334
S3P1_16493,3946.9,5845.8,Others,S3P1_2,-4.966921035,-6.364355136
S3P1_16494,4001.2,5846.5,Others,S3P1_2,1.237801012,-2.435244132
S3P1_16495,3939.4,5852.1,Others,S3P1_2,-4.900279228,-6.401183654
S3P1_16496,3994.2,5855.8,Others,S3P1_2,6.248593625,0.96077783
S3P1_16497,3930.8,5853.8,Others,S3P1_2,-4.880883876,-6.408535053
S3P1_16498,3951,5857.5,Others,S3P1_2,-4.810583774,-6.428290416
S3P1_16499,4034,5857.1,Myoepithelial,S3P1_2,4.562561806,-2.794156362
S3P1_16500,3979.7,5857.6,Others,S3P1_2,2.578898247,-2.993087102
S3P1_16501,4041.2,5858.8,Myoepithelial,S3P1_2,5.288099106,-1.872264673
S3P1_16502,3923.1,5856.4,Others,S3P1_2,-4.882574264,-6.389609386
S3P1_16503,3966.5,5860.6,Others,S3P1_2,-6.778608028,2.600967835
S3P1_16504,3919,5862.9,Others,S3P1_2,-4.904713813,-6.397087146
S3P1_16505,3908.6,5868,Others,S3P1_2,-4.866190139,-6.370345642
S3P1_16506,3964.3,5866.9,Fibroblast,S3P1_2,-6.193937484,2.51966853
S3P1_16507,3951.8,5871.2,Others,S3P1_2,8.066724595,1.119670819
S3P1_16508,4035.4,5868.8,Myoepithelial,S3P1_2,6.300494011,-0.454080839
S3P1_16509,3934.6,5871.1,Myoepithelial,S3P1_2,3.759666737,-3.577060033
S3P1_16510,3960.5,5875.5,Others,S3P1_2,8.14188939,1.296507071
S3P1_16511,3942.1,5877.7,Ducts,S3P1_2,7.78291541,1.565200876
S3P1_16512,3923.9,5872.5,Others,S3P1_2,4.530312356,-2.036571433
S3P1_16513,4024.3,5874.8,Acini,S3P1_2,8.818281945,2.30738325
S3P1_16514,4032.6,5881.3,Acini,S3P1_2,7.452424344,-1.567740013
S3P1_16515,3969.4,5882.6,Others,S3P1_2,7.781647976,1.217706631
S3P1_16516,3919.1,5881.8,Others,S3P1_2,7.700057801,0.727116357
S3P1_16517,3887,5882.1,Others,S3P1_2,-4.88529605,-6.250090171
S3P1_16518,3871.4,5889.8,Others,S3P1_2,-4.886904899,-6.381055404
S3P1_16519,3861.6,5885.7,Others,S3P1_2,-4.918571178,-6.288078357
S3P1_16520,3926.9,5890.6,Acini,S3P1_2,8.510980424,2.378964852
S3P1_16521,3883.5,5893.2,Others,S3P1_2,-4.797711078,-6.505518009
S3P1_16522,3967.8,5895,Myoepithelial,S3P1_2,6.563809689,-0.515868862
S3P1_16523,3914.5,5894.5,Others,S3P1_2,3.944219407,-0.365198736
S3P1_16524,3995.7,5897.2,Acini,S3P1_2,4.11122733,-3.48388796
S3P1_16525,3977.2,5900.7,Fibroblast,S3P1_2,-0.430319373,-1.752987553
S3P1_16526,4008,5897.3,Acini,S3P1_2,7.251287755,-2.76587825
S3P1_16527,4022.8,5898.4,Acini,S3P1_2,8.448831376,1.283367942
S3P1_16528,3889,5903,Others,S3P1_2,7.704630192,-2.718216707
S3P1_16529,3899.5,5901.2,Others,S3P1_2,0.11754341,-1.635779907
S3P1_16530,3876,5904.3,Others,S3P1_2,5.572666939,-3.693312456
S3P1_16531,3908.3,5905.6,Others,S3P1_2,4.798031624,-3.790522863
S3P1_16532,3917.4,5905,Others,S3P1_2,7.556954201,-0.223074031
S3P1_16533,3932.8,5900.7,Acini,S3P1_2,8.676144417,2.143837403
S3P1_16534,3987.5,5906.4,Others,S3P1_2,3.971585568,-1.79745083
S3P1_16535,3958,5903.5,Acini,S3P1_2,8.302386101,1.169299196
S3P1_16536,3865.2,5908.4,Others,S3P1_2,5.55216008,-3.919108917
S3P1_16537,3924.9,5910,Others,S3P1_2,7.364092167,0.173204552
S3P1_16538,3945.6,5904.4,Acini,S3P1_2,8.867742356,1.76432557
S3P1_16539,3971.3,5908.8,Others,S3P1_2,-0.191977013,-1.844437887
S3P1_16540,3937.2,5911.4,Myoepithelial,S3P1_2,6.267432507,-0.669430782
S3P1_16541,3950.9,5912.3,Acini,S3P1_2,7.435195263,1.460722636
S3P1_16542,3856.2,5917.5,Others,S3P1_2,5.183170613,-2.204112579
S3P1_16543,4008.9,5915.1,Acini,S3P1_2,4.11436158,-3.775823404
S3P1_16544,3960.8,5914.2,Myoepithelial,S3P1_2,3.157276925,-1.884442855
S3P1_16545,3970.6,5918.4,Myoepithelial,S3P1_2,4.971156891,0.336123626
