Cell_ID,X,Y,TACIT,Group.x,UMAP1,UMAP2
S3P2_1,13415.5,16061.3,Others,S3P2_1,7.512985255,-5.850505115
S3P2_10,13326.4,16107.2,NK cells,S3P2_1,6.864411857,-6.083403828
S3P2_100,13456.7,16230.3,Others,S3P2_1,5.589432265,0.572585462
S3P2_1000,13243.1,16863.2,Others,S3P2_1,7.343463923,0.623981355
S3P2_10000,12952.3,19036.4,Fibroblast,S3P2_2,6.800108458,4.830266235
S3P2_10001,12718,19041.3,Acini,S3P2_2,-7.621393178,-4.986774685
S3P2_10002,12879.8,19038.9,Acini,S3P2_2,-3.521834348,-6.947087051
S3P2_10003,12937.7,19040.3,Fibroblast,S3P2_2,6.297116305,2.858910559
S3P2_10004,12921.2,19045.3,Others,S3P2_2,-2.410872911,-3.585250141
S3P2_10005,12761.3,19044.4,VEC Progen,S3P2_2,4.283455398,-4.310849907
S3P2_10006,12806.8,19044.7,Treg,S3P2_2,-6.640560124,-3.644579412
S3P2_10007,12684.5,19046.7,Ducts,S3P2_2,-6.808811639,6.829696892
S3P2_10008,12698,19044.1,Acini,S3P2_2,-6.871851419,3.837585447
S3P2_10009,12645.8,19045.9,Ducts,S3P2_2,-7.166975949,5.817127941
S3P2_1001,13269.5,16866.2,Others,S3P2_1,7.327169921,0.711411534
S3P2_10010,12781.7,19048,Treg,S3P2_2,-4.36274812,-2.124648334
S3P2_10011,12946,19048,Fibroblast,S3P2_2,0.368583466,-0.520453038
S3P2_10012,12832.5,19050.8,Acini,S3P2_2,-3.463800166,-2.415167572
S3P2_10013,12843.4,19050,Treg,S3P2_2,-0.688537632,-1.406943562
S3P2_10014,13003.7,19047.6,Others,S3P2_2,5.805049445,5.049491165
S3P2_10015,12874.9,19051.2,Acini,S3P2_2,-3.736616586,-6.760574104
S3P2_10016,12986.2,19048.6,Fibroblast,S3P2_2,3.479640271,3.20906472
S3P2_10017,12673.8,19048.4,Ducts,S3P2_2,-6.436915372,6.483088253
S3P2_10018,12710.5,19046.5,Acini,S3P2_2,-7.557193254,-5.028488876
S3P2_10019,12723.5,19048.5,Acini,S3P2_2,-8.437926267,-3.530022861
S3P2_1002,13548.8,16864.3,Others,S3P2_1,8.893681552,6.405597446
S3P2_10020,12854.4,19050.8,Acini,S3P2_2,-6.058910344,-4.875815155
S3P2_10021,12959.2,19047.7,Fibroblast,S3P2_2,6.237235572,5.506103752
S3P2_10022,12751.1,19051.6,Ducts,S3P2_2,-7.027808641,5.096071003
S3P2_10023,12924.9,19052.5,Acini,S3P2_2,-5.984954808,-3.517925503
S3P2_10024,12635.5,19047.8,Ducts,S3P2_2,-7.318356488,5.162626503
S3P2_10025,12700.6,19051.1,Acini,S3P2_2,-6.923400853,3.842244623
