Cell_ID,X,Y,TACIT,Group.x,UMAP1,UMAP2
S1P1_1,7554.3,2053.9,Others,S1P1_3,5.361097379,-4.084776725
S1P1_10,7551.9,2183.4,Fibroblast,S1P1_3,-2.23582931,-3.371050443
S1P1_100,7696,2273.5,Acini,S1P1_3,-6.4465694,-3.396066751
S1P1_1000,7548.1,2813.1,Th,S1P1_3,3.194487376,4.658289585
S1P1_10000,7934.8,3755.8,Others,S1P1_3,-3.301158385,2.401806269
S1P1_10001,8221.8,3757.4,Acini,S1P1_3,-4.778963523,-5.859051075
S1P1_10002,7631.8,3758.6,Ducts,S1P1_3,-5.324246841,5.190507565
S1P1_10003,7940.9,3755.9,Others,S1P1_3,-3.068477349,2.656487856
S1P1_10004,8148.8,3757.6,Others,S1P1_3,-5.559082465,-0.77441385
S1P1_10005,8245.6,3755.6,Acini,S1P1_3,-5.396510081,-4.924138393
S1P1_10006,7993.6,3761.7,Fibroblast,S1P1_3,6.820789857,2.313860569
S1P1_10007,8204.8,3758,Myoepithelial,S1P1_3,-4.728020625,-0.528006401
S1P1_10008,7578,3757,Ducts,S1P1_3,-5.319384532,3.58937398
S1P1_10009,7716.2,3760.4,Others,S1P1_3,-5.327523665,3.475871954
S1P1_1001,7183.2,2812.8,Acini,S1P1_3,-5.115197139,-2.649767246
S1P1_10010,8105.7,3758.9,LECs,S1P1_3,-4.776874023,-1.649430241
S1P1_10011,8173.7,3758.5,Acini,S1P1_3,-5.146722751,-3.729016151
S1P1_10012,8193.2,3757.9,Acini,S1P1_3,-5.193174796,-2.190441694
S1P1_10013,8261.1,3760.5,Others,S1P1_3,-6.385670619,0.838595424
S1P1_10014,8186.9,3762.4,Acini,S1P1_3,-5.621626334,-4.241762008
S1P1_10015,8277.2,3759.7,Others,S1P1_3,-6.362361865,1.22565547
S1P1_10016,7725.5,3759.5,Ducts,S1P1_3,-5.169908004,5.88818327
S1P1_10017,8118.7,3761.3,Acini,S1P1_3,-6.420855479,-3.367386427
S1P1_10018,8212.3,3762,Tc,S1P1_3,-2.836463409,2.340875063
S1P1_10019,7884.7,3759.2,Others,S1P1_3,-6.265081363,1.018223915
S1P1_1002,7527.8,2810.6,Th,S1P1_3,3.134748979,4.537355099
S1P1_10020,7970.9,3760.6,Fibroblast,S1P1_3,5.203352971,5.063067589
S1P1_10021,8081.6,3760.9,Others,S1P1_3,-4.908367114,-2.094887581
S1P1_10022,8285.7,3762.6,Fibroblast,S1P1_3,4.658381028,1.023438487
S1P1_10023,7875,3762.8,Fibroblast,S1P1_3,5.706065698,2.31807581
S1P1_10024,8019.7,3764.3,Others,S1P1_3,4.227538152,-2.893702354
S1P1_10025,7851.8,3761.9,Fibroblast,S1P1_3,5.03966908,-0.175798077
S1P1_10026,8093.5,3765.4,Others,S1P1_3,-4.866885142,-1.985400881
S1P1_10027,7891.6,3760.4,Others,S1P1_3,-6.45588203,1.642892514
S1P1_10028,7899.6,3759.7,Others,S1P1_3,-6.512091594,1.673384939
S1P1_10029,7576.6,3764.7,Others,S1P1_3,2.616294904,0.032289442
S1P1_1003,7355,2813.1,Acini,S1P1_3,-3.815792518,-3.854636039
S1P1_10030,8180.9,3766.3,Acini,S1P1_3,-5.634283977,-4.433258381
S1P1_10031,8204.2,3765.9,Acini,S1P1_3,-5.193242984,-2.144374695
S1P1_10032,8232.5,3762.4,Acini,S1P1_3,-5.243287997,-5.416650619
S1P1_10033,8271.3,3762.7,Others,S1P1_3,-5.984316306,0.305699293
S1P1_10034,7584.4,3765.2,Ducts,S1P1_3,-5.074994521,4.022365246
S1P1_10035,7909.7,3762.8,Others,S1P1_3,-6.607962565,1.592821989
S1P1_10036,7954.5,3762.9,Fibroblast,S1P1_3,6.077811284,2.67030469
S1P1_10037,7960.9,3762.4,Treg,S1P1_3,1.426439328,3.816314373
S1P1_10038,8142.6,3766.5,Others,S1P1_3,-4.446876006,-3.649037447
S1P1_10039,8243.4,3768.3,Acini,S1P1_3,-5.219275909,-2.745822038
S1P1_1004,7154.7,2813.4,NK cells,S1P1_3,-2.955729919,-3.976670828
S1P1_10040,8293.5,3766.3,NK cells,S1P1_3,3.491971059,-2.222657528
S1P1_10041,7739.7,3764.4,Others,S1P1_3,3.978013081,0.40228698
S1P1_10042,7863.4,3764.7,Fibroblast,S1P1_3,4.901061101,1.682087336
S1P1_10043,7937,3766.3,Fibroblast,S1P1_3,5.055215878,1.606721554
S1P1_10044,7975.5,3766.3,VEC,S1P1_3,7.339011235,2.421531592
S1P1_10045,8194.8,3767.1,Acini,S1P1_3,-5.70594831,-4.288504448
S1P1_10046,7627,3766.9,Ducts,S1P1_3,-5.481385665,5.546369706
S1P1_10047,7719.6,3767.7,Ducts,S1P1_3,-5.394783454,3.74408165
S1P1_10048,7729.8,3765.7,Ducts,S1P1_3,-5.164671855,6.523473893
S1P1_10049,8106.8,3767.1,Others,S1P1_3,-5.547353225,-0.912040796
S1P1_1005,7289.1,2814.5,LECs,S1P1_3,2.984183116,-0.760297861
S1P1_10050,8154.6,3766.5,Acini,S1P1_3,-5.729739146,-0.809518721
S1P1_10051,8217.9,3768.3,Acini,S1P1_3,-5.058718162,-5.589641895
S1P1_10052,7881,3770.9,Fibroblast,S1P1_3,5.430496259,1.87213007
S1P1_10053,7961.5,3770.6,Fibroblast,S1P1_3,6.264597936,3.139194403
S1P1_10054,7967.8,3770.4,Fibroblast,S1P1_3,-3.844836669,-5.620521869
S1P1_10055,7756.9,3767.5,Others,S1P1_3,3.409165425,-2.138495292
S1P1_10056,8116.8,3772.8,Acini,S1P1_3,-6.439952807,-3.30801424
S1P1_10057,7831.6,3770.3,Others,S1P1_3,4.291626019,-2.949820366
S1P1_10058,8258.2,3773.8,Myoepithelial,S1P1_3,-4.612925963,-0.853452768
S1P1_10059,7847.5,3772,Others,S1P1_3,4.299377961,2.992265854
S1P1_1006,7510.8,2810.9,Fibroblast,S1P1_3,5.28708796,4.727194939
S1P1_10060,7860.6,3771,Fibroblast,S1P1_3,5.091842217,1.511846695
S1P1_10061,8270.2,3771.5,VEC Progen,S1P1_3,7.567496343,-0.14877921
S1P1_10062,7952.8,3771.2,Fibroblast,S1P1_3,5.210628552,5.062111054
S1P1_10063,8102.9,3772.9,Acini,S1P1_3,-5.193998771,-2.066941347
S1P1_10064,7869.6,3772,Fibroblast,S1P1_3,5.18379168,1.635969553
S1P1_10065,7892.5,3772.3,Fibroblast,S1P1_3,5.177362962,0.742910419
S1P1_10066,7990.6,3775.1,Others,S1P1_3,3.769363685,-1.003726628
S1P1_10067,8170.8,3772.1,Acini,S1P1_3,-5.191139655,-5.354815807
S1P1_10068,7585,3774.4,Others,S1P1_3,3.134375615,0.206622068
S1P1_10069,7737.9,3775.5,Others,S1P1_3,4.972987218,2.166013632
S1P1_1007,7137.4,2814,DC cells,S1P1_3,7.899169965,-0.835369017
S1P1_10070,7944.1,3775,VEC,S1P1_3,6.400143189,2.982026253
S1P1_10071,7980,3774.4,Fibroblast,S1P1_3,6.149600549,1.775949035
S1P1_10072,8304.5,3775.7,Others,S1P1_3,3.358079953,-2.978269186
S1P1_10073,7626.4,3774.7,Ducts,S1P1_3,-5.485786872,5.539993439
S1P1_10074,7728.2,3774.5,Ducts,S1P1_3,-5.179420428,6.461571369
S1P1_10075,7900.6,3773.9,Fibroblast,S1P1_3,5.307436986,2.350703631
S1P1_10076,8130.7,3773.8,Acini,S1P1_3,-5.064842181,-3.862656679
S1P1_10077,8281,3773.6,DC cells,S1P1_3,8.197893662,0.436295841
S1P1_10078,7606.3,3773.7,VEC Progen,S1P1_3,6.78155951,0.094699178
S1P1_10079,7713.6,3773.7,Others,S1P1_3,-5.389724689,3.617462788
S1P1_1008,7373.1,2810.8,VEC Progen,S1P1_3,3.327166123,-0.309949394
S1P1_10080,7919.6,3772,Fibroblast,S1P1_3,5.043007417,1.800070319
S1P1_10081,8152.9,3774.7,Myoepithelial,S1P1_3,-4.946714835,-1.51073822
S1P1_10082,8195.4,3774.9,Acini,S1P1_3,-5.218157249,-5.37159666
S1P1_10083,7929.3,3772.3,Others,S1P1_3,4.965738816,4.113365326
S1P1_10084,8247.4,3774.6,Myoepithelial,S1P1_3,-4.288029151,-1.134374466
S1P1_10085,8227.9,3776.4,Acini,S1P1_3,-5.302215533,-5.153713073
S1P1_10086,7810.3,3775.6,Others,S1P1_3,4.261748357,-5.999015655
S1P1_10087,7956.9,3778.1,Fibroblast,S1P1_3,6.358030839,2.641501818
S1P1_10088,7596.1,3778.5,Fibroblast,S1P1_3,3.581826968,0.446399722
S1P1_10089,7755.5,3778.7,Others,S1P1_3,3.717434211,-1.901491012
S1P1_1009,7301.1,2812.5,VEC Progen,S1P1_3,2.956885858,-0.730767991
S1P1_10090,7567,3775.1,Others,S1P1_3,-0.804556923,0.143144373
S1P1_10091,7854.1,3778,Others,S1P1_3,3.993485017,1.573557291
S1P1_10092,7968.9,3777.2,Others,S1P1_3,5.531161828,2.575343762
S1P1_10093,8217.1,3779.5,Acini,S1P1_3,-4.879521327,-5.448114242
S1P1_10094,7646.1,3776.7,Ducts,S1P1_3,-5.388211684,5.383015309
S1P1_10095,7575.3,3777.2,Myofibroblast,S1P1_3,-0.788746195,0.26773167
S1P1_10096,7864.8,3778.4,Fibroblast,S1P1_3,5.33678679,1.792230521
S1P1_10097,8077.6,3777.9,Others,S1P1_3,-5.074998813,-3.141146269
S1P1_10098,8293,3785.7,VEC Progen,S1P1_3,7.886583371,0.320943061
S1P1_10099,7908.9,3779.7,Fibroblast,S1P1_3,4.772250218,2.049412403
S1P1_101,7639,2275.9,Fibroblast,S1P1_3,4.023598475,3.252941523
S1P1_1010,7162.9,2814.2,Acini,S1P1_3,-5.182643848,-2.671687689
S1P1_10100,8098.7,3779.2,Acini,S1P1_3,-5.329004722,-3.107302751
S1P1_10101,8160.5,3780.5,Acini,S1P1_3,-4.94313808,-2.24401268
S1P1_10102,8207.4,3780.4,Others,S1P1_3,2.685823007,-2.364434805
S1P1_10103,8273.1,3780.1,Others,S1P1_3,-5.742687182,-0.45188972
S1P1_10104,7839,3781.9,Others,S1P1_3,4.373339696,-3.942475404
S1P1_10105,7924.3,3779.7,Fibroblast,S1P1_3,5.587907834,2.408526573
S1P1_10106,7931.6,3780.9,B cells,S1P1_3,5.576882405,2.767913018
S1P1_10107,8122.7,3780.7,Acini,S1P1_3,-6.116924243,-3.412543859
S1P1_10108,8143.5,3780.4,Others,S1P1_3,-6.026675181,-0.46234205
S1P1_10109,7709.6,3779.4,Ducts,S1P1_3,-5.407836871,3.697780047
S1P1_1011,7481.7,2815.3,LECs,S1P1_3,-5.680052714,-0.485904243
S1P1_10110,7872.3,3779.6,Fibroblast,S1P1_3,5.444391293,1.861135755
S1P1_10111,7886.2,3780.4,Fibroblast,S1P1_3,4.918310685,1.727478419
S1P1_10112,8110,3784.7,Fibroblast,S1P1_3,3.155440612,0.31878585
S1P1_10113,8197,3783.1,Acini,S1P1_3,-5.510604816,-4.530208435
S1P1_10114,7554.2,3777.7,Others,S1P1_3,2.781129403,-2.359130468
S1P1_10115,7630.8,3781.4,Ducts,S1P1_3,-5.549407439,4.413983975
S1P1_10116,7723.8,3783.7,Ducts,S1P1_3,-5.04650064,6.631560955
S1P1_10117,7970.7,3786.7,Fibroblast,S1P1_3,5.282250924,1.059623037
S1P1_10118,8243.8,3786,Myoepithelial,S1P1_3,-4.868008571,-1.780286278
S1P1_10119,8235,3783.4,Fibroblast,S1P1_3,-3.459273057,-0.192874338
