Cell_ID,X,Y,TACIT,Group.x,UMAP1,UMAP2
S4P2_27419,5566.3,18692.2,Others,S4P2_1,-5.653143846,-2.532003063
S4P2_27420,5577.8,18692.2,Others,S4P2_1,-5.675899469,-2.874704975
S4P2_27421,5601.4,18690.5,Others,S4P2_1,-5.642273866,-2.530875582
S4P2_27422,5649,18692.8,Others,S4P2_1,-5.619465314,-2.539474148
S4P2_27423,5528.9,18695.3,Others,S4P2_1,-5.592002832,-2.549805302
S4P2_27424,5589.4,18693.2,Others,S4P2_1,-3.950150692,-2.873962778
S4P2_27425,5620.8,18693.1,Others,S4P2_1,-5.700756513,-2.920926231
S4P2_27426,5541.1,18698.8,Others,S4P2_1,-3.980515682,-2.98443045
S4P2_27427,5604,18698.4,Others,S4P2_1,-4.316156351,-2.879099983
S4P2_27428,5609.6,18701.5,NK cells,S4P2_1,-3.801940405,-3.028045792
S4P2_27429,5639.8,18701.7,Others,S4P2_1,-5.589717828,-2.908154148
S4P2_27430,5630.1,18701.9,Others,S4P2_1,-3.931041919,-2.922502893
S4P2_27431,5617.3,18710.4,Acini,S4P2_1,2.984764613,-1.586228389
S4P2_27432,5574.9,18709.7,NK cells,S4P2_1,5.330968417,0.113153231
S4P2_27433,5699.1,18702.9,Others,S4P2_1,-5.632292234,-2.587220806
S4P2_27434,5683.4,18706.6,Others,S4P2_1,-4.104076349,-2.892263073
S4P2_27435,5562.6,18707.8,Others,S4P2_1,5.252350367,0.133393895
S4P2_27436,5586.4,18706.7,Others,S4P2_1,5.144703902,0.814828139
S4P2_27437,5599.6,18709.6,Others,S4P2_1,-3.711235725,-2.97757091
S4P2_27438,5553.1,18704.5,Others,S4P2_1,-3.927380048,-2.749803204
S4P2_27439,5651.4,18707.6,NK cells,S4P2_1,-4.002509319,-2.93203606
S4P2_27440,5544,18712.9,Others,S4P2_1,-3.869936191,-2.966867346
S4P2_27441,5710.6,18709.3,Others,S4P2_1,-5.664785349,-2.832883019
S4P2_27442,5506.6,18708.8,Others,S4P2_1,-5.680927717,-2.900282759
S4P2_27443,5648,18715.1,Fibroblast,S4P2_1,-5.881645166,-0.590840954
S4P2_27444,5631,18714.5,Others,S4P2_1,4.26287464,-0.876662928
S4P2_27445,5492.5,18713.4,Others,S4P2_1,-4.079592191,-2.848808664
S4P2_27446,5589.5,18715.9,Others,S4P2_1,5.323413886,0.500743192
S4P2_27447,5718.1,18717.3,Others,S4P2_1,-5.684222185,-2.534690041
S4P2_27448,5479,18717.1,Others,S4P2_1,-5.520853006,-2.562090057
S4P2_27449,5729,18722.7,Others,S4P2_1,-5.687942945,-2.857952971
S4P2_27450,5468.6,18716.9,Others,S4P2_1,-5.489055597,-2.507969278
S4P2_27451,5546.4,18727.1,Others,S4P2_1,-6.182032072,-2.770694155
S4P2_27452,5458,18720,Others,S4P2_1,-4.038323366,-2.859625715
S4P2_27453,5636.8,18721.6,Others,S4P2_1,5.422009982,1.007711988
S4P2_27454,5709.5,18723.5,Fibroblast,S4P2_1,-4.613686525,-1.614133853
S4P2_27455,5507.5,18723.3,DC cells,S4P2_1,5.026013888,0.463352006
S4P2_27456,5596.3,18722.6,Acini,S4P2_1,4.126564063,-1.230638522
S4P2_27457,5697.6,18726.9,Others,S4P2_1,-5.713314973,-1.971706051
S4P2_27458,5740.3,18726.9,Others,S4P2_1,-5.680086099,-2.853452343
S4P2_27459,5581.7,18724.2,Others,S4P2_1,4.818609274,0.481508058
S4P2_27460,5648.4,18726.2,Fibroblast,S4P2_1,-6.061253034,-0.184296462
S4P2_27461,5519,18723.6,Others,S4P2_1,3.676565445,-0.108206883
S4P2_27462,5498.7,18726.7,NK cells,S4P2_1,5.533701456,0.06538884
S4P2_27463,5623.9,18726.4,Others,S4P2_1,2.750396527,-2.020346898
S4P2_27464,5635.5,18730.8,Others,S4P2_1,2.88546089,2.572427851
S4P2_27465,5490.9,18726.9,NK cells,S4P2_1,-3.894031726,-2.921450275
S4P2_27466,5593.4,18732.5,Others,S4P2_1,4.182463683,-1.10812344
S4P2_27467,5715.7,18736.4,Others,S4P2_1,-5.879744493,-1.853766817
S4P2_27468,5755,18727.7,Others,S4P2_1,-5.65729376,-2.56919064
S4P2_27469,5474.3,18732.6,Others,S4P2_1,5.195762194,0.147136894
S4P2_27470,5483.4,18729.9,Others,S4P2_1,4.998948611,0.584669691
S4P2_27471,5449.3,18732.5,NK cells,S4P2_1,-3.76430937,-3.048885244
S4P2_27472,5439.4,18727.8,Others,S4P2_1,-5.636629068,-2.513698954
S4P2_27473,5457.6,18733.4,Others,S4P2_1,-4.005742752,-2.888498444
S4P2_27474,5486.8,18735.8,Others,S4P2_1,5.431395567,0.123200324
S4P2_27475,5572.4,18731.7,Others,S4P2_1,2.672040499,-1.928950686
S4P2_27476,5523.8,18735.9,Others,S4P2_1,6.057700671,0.599378985
S4P2_27477,5468,18740.4,NK cells,S4P2_1,5.446558035,0.157156881
S4P2_27478,5498.6,18735.9,NK cells,S4P2_1,5.183230437,0.214207989
S4P2_27479,5561.1,18735.3,Others,S4P2_1,2.331335343,0.344881963
S4P2_27480,5757,18737.8,Others,S4P2_1,-5.692378008,-2.856440681
S4P2_27481,5649.6,18736.6,Fibroblast,S4P2_1,-3.500622474,1.126964909
S4P2_27482,5638.8,18736.9,DC cells,S4P2_1,-3.64228388,1.754801851
S4P2_27483,5618.6,18736.6,Others,S4P2_1,2.695413865,-1.842912573
S4P2_27484,5597,18742,Others,S4P2_1,2.18158821,-0.614312786
S4P2_27485,5579.1,18739.6,Others,S4P2_1,1.587849415,2.327714306
S4P2_27486,5429.5,18739.4,Others,S4P2_1,-3.984682285,-2.95610227
S4P2_27487,5442.7,18741.4,NK cells,S4P2_1,-3.77441188,-3.028087992
S4P2_27488,5607.4,18739.4,Others,S4P2_1,2.536665238,-1.510949391
S4P2_27489,5630.4,18740.4,Others,S4P2_1,-5.496121847,-1.150843042
S4P2_27490,5511.5,18741.7,Others,S4P2_1,6.022798575,0.577174467
S4P2_27491,5459.6,18743.3,Others,S4P2_1,4.70164255,0.3015172
S4P2_27492,5494.2,18746.8,Others,S4P2_1,-3.710153782,-2.976513046
S4P2_27493,5770.3,18746.2,Others,S4P2_1,-5.682144605,-2.842200417
S4P2_27494,5641.5,18746.1,Others,S4P2_1,5.305990733,0.83854751
S4P2_27495,5502.5,18748.7,NK cells,S4P2_1,2.808934248,-1.354184765
S4P2_27496,5483.5,18748,Others,S4P2_1,5.059346236,0.049597618
S4P2_27497,5757.2,18749.8,Others,S4P2_1,-5.724410497,-2.895466227
S4P2_27498,5653.7,18745,Fibroblast,S4P2_1,-6.113324129,-0.377592254
S4P2_27499,5544.6,18743.5,Others,S4P2_1,3.981217421,0.087264847
S4P2_27500,5624.4,18748.6,Others,S4P2_1,5.499265707,0.483681303
S4P2_27501,5634.4,18751.9,Others,S4P2_1,5.80019287,1.034702998
S4P2_27502,5579,18747.1,Others,S4P2_1,0.715917326,1.827816945
S4P2_27503,5613.8,18749,Others,S4P2_1,-5.239814245,-3.886052269
S4P2_27504,5418.5,18746,Others,S4P2_1,-3.928545915,-2.935661692
S4P2_27505,5456.5,18748.8,Others,S4P2_1,4.889207877,0.419485908
S4P2_27506,5534.5,18751.3,Others,S4P2_1,5.462946928,0.163109717
S4P2_27507,5519.5,18748.5,Others,S4P2_1,6.058384932,0.642642182
S4P2_27508,5559,18750.4,Others,S4P2_1,5.224672831,1.282311541
S4P2_27509,5448.4,18748.8,Others,S4P2_1,-4.61434456,-2.51169743
S4P2_27510,5436.2,18751.5,NK cells,S4P2_1,5.177485026,-0.007831674
S4P2_27511,5527.2,18750.3,Others,S4P2_1,5.894345797,0.930512172
S4P2_27512,5411.5,18752.2,NK cells,S4P2_1,-3.778987133,-3.041452545
S4P2_27513,5669.4,18748.6,Fibroblast,S4P2_1,-6.226188146,-0.575056094
S4P2_27514,5570.7,18753.1,Others,S4P2_1,1.864967502,1.200931054
S4P2_27515,5588.2,18752.5,Fibroblast,S4P2_1,-6.016159498,-0.474898088
S4P2_27516,5623.3,18758.9,Others,S4P2_1,6.253031767,1.395102244
S4P2_27517,5544.1,18756.7,Others,S4P2_1,6.091506995,0.679617506
S4P2_27518,5445.6,18758.8,NK cells,S4P2_1,5.212722815,0.106068146
S4P2_27519,5512.5,18758.7,Others,S4P2_1,2.629324711,-1.208007711
S4P2_27520,5651.6,18757.3,Others,S4P2_1,5.983870066,1.459305984
S4P2_27521,5782.2,18756.8,Others,S4P2_1,-5.633028947,-2.53224029
S4P2_27522,5458.1,18758.7,Others,S4P2_1,5.231148756,0.381425184
S4P2_27523,5604.4,18758.9,Others,S4P2_1,5.236952818,1.005625707
S4P2_27524,5400.5,18756.5,NK cells,S4P2_1,-3.781101429,-3.036799568
S4P2_27525,5577.5,18761.5,Others,S4P2_1,4.145089186,-1.109778065
S4P2_27526,5473,18759.1,Others,S4P2_1,3.083500183,-0.739126164
S4P2_27527,5563.3,18760,Others,S4P2_1,5.252258337,0.70429061
S4P2_27528,5674.5,18759.6,Others,S4P2_1,-6.01019808,-2.361727852
S4P2_27529,5431.9,18760.6,Others,S4P2_1,-4.154555761,-2.605513472
S4P2_27530,5529.4,18764.7,Others,S4P2_1,5.41089157,0.194670525
S4P2_27531,5422.1,18763.8,Th,S4P2_1,4.50525955,0.206238729
S4P2_27532,5588.5,18768.6,Others,S4P2_1,5.442501582,0.733115417
S4P2_27533,5665.8,18766.5,Others,S4P2_1,5.250671423,0.909783762
S4P2_27534,5391.8,18766.6,Others,S4P2_1,-3.887728893,-2.969982046
S4P2_27535,5402.7,18767.2,LECs,S4P2_1,-3.747664177,-3.041337866
S4P2_27536,5618.7,18767.2,Others,S4P2_1,5.811732806,1.41959272
S4P2_27537,5521,18767.3,Others,S4P2_1,2.203012741,-1.502968449
S4P2_27538,5647.3,18767.6,Others,S4P2_1,5.618339098,0.995976311
S4P2_27539,5562.2,18769.7,Others,S4P2_1,6.505863226,1.367228728
S4P2_27540,5543,18768.9,Others,S4P2_1,5.066207922,0.774448555
S4P2_27541,5464.6,18768.1,Others,S4P2_1,5.225259818,0.167799842
S4P2_27542,5437.1,18770.7,Others,S4P2_1,2.435278929,-1.779982943
S4P2_27543,5793.5,18770.3,Others,S4P2_1,-5.662824594,-2.51102652
S4P2_27544,5414.6,18772.1,Others,S4P2_1,3.569947995,-0.15804864
S4P2_27545,5426.3,18774.9,Others,S4P2_1,5.474740542,0.155333218
S4P2_27546,5452.7,18772.2,Others,S4P2_1,5.450809039,0.341715377
S4P2_27547,5657.8,18776.6,Others,S4P2_1,5.834609068,1.140522581
S4P2_27548,5469.5,18777,Others,S4P2_1,3.109310664,-1.01965155
S4P2_27549,5678.4,18774.4,Others,S4P2_1,6.454152144,1.17199443
S4P2_27550,5612.3,18775.4,Others,S4P2_1,5.129068411,1.140894037
S4P2_27551,5378.8,18774,Others,S4P2_1,-4.252452814,-3.384654182
S4P2_27552,5625.6,18776.4,Others,S4P2_1,6.007155455,1.351405245
S4P2_27553,5517.6,18779.3,Others,S4P2_1,2.574374236,-1.60774495
S4P2_27554,5535.7,18780.7,Others,S4P2_1,2.56986574,-1.566716332
S4P2_27555,5459.5,18780.6,Myoepithelial,S4P2_1,5.19895891,0.149176058
S4P2_27556,5802.6,18777.9,Others,S4P2_1,-5.552369081,-2.455306429
S4P2_27557,5747.9,18777.2,Others,S4P2_1,-5.533759081,-2.4706675
S4P2_27558,5418.6,18781.4,NK cells,S4P2_1,5.192350424,0.393984985
S4P2_27559,5396.4,18780.7,DC cells,S4P2_1,4.848099268,0.353817206
S4P2_27560,5601.2,18782.2,Acini,S4P2_1,4.203287161,-1.437887568
S4P2_27561,5560.3,18781.3,Others,S4P2_1,5.143549956,0.173432839
S4P2_27562,5385.3,18783.5,NK cells,S4P2_1,5.396361864,0.093711775
S4P2_27563,5447.8,18782.5,Others,S4P2_1,1.996288098,-1.703052897
S4P2_27564,5546.8,18785.5,Others,S4P2_1,3.090505637,-0.676159579
S4P2_27565,5406.9,18782.4,Others,S4P2_1,4.577455557,0.210278254
S4P2_27566,5640.8,18781.1,Others,S4P2_1,6.320283926,1.436040264
S4P2_27567,5649.5,18785.6,Others,S4P2_1,5.054636992,0.650017601
S4P2_27568,5433,18782.2,Others,S4P2_1,5.362097777,0.348200065
S4P2_27569,5754.1,18787.1,Others,S4P2_1,-5.607838117,-2.501331944
S4P2_27570,5678.7,18788.7,Others,S4P2_1,4.773333586,0.432136518
S4P2_27571,5614.8,18791,Others,S4P2_1,4.517907656,0.123085987
S4P2_27572,5630.4,18786.5,Others,S4P2_1,5.424881972,0.994466644
S4P2_27573,5493.3,18784.1,Others,S4P2_1,3.731245316,-0.961164016
S4P2_27574,5380.2,18791.1,NK cells,S4P2_1,5.293623961,0.050241773
S4P2_27575,5412.5,18790.1,Others,S4P2_1,5.436229266,0.130138647
S4P2_27576,5796.7,18791,Others,S4P2_1,-5.674806081,-2.517346519
S4P2_27577,5422.1,18789.2,NK cells,S4P2_1,5.419141329,0.376212728
S4P2_27578,5808.6,18789.4,Others,S4P2_1,-5.696330988,-2.891515631
S4P2_27579,5658.4,18793.9,Others,S4P2_1,4.659841574,0.448188704
S4P2_27580,5388.9,18795.4,Others,S4P2_1,6.026554621,0.555036705
S4P2_27581,5471.5,18787.7,Others,S4P2_1,3.321027792,-0.465281087
S4P2_27582,5558.3,18792.3,Others,S4P2_1,4.859501875,0.340678823
S4P2_27583,5713.9,18786.5,Others,S4P2_1,-5.587360345,-2.363460917
S4P2_27584,5462,18793.1,Others,S4P2_1,4.889462984,0.495820087
S4P2_27585,5374.5,18796.9,NK cells,S4P2_1,5.157343901,-0.007231015
S4P2_27586,5431,18791.9,Others,S4P2_1,5.091542281,0.444378328
S4P2_27587,5481.7,18789.2,Others,S4P2_1,2.893073119,-1.48744573
S4P2_27588,5571.6,18787.6,Acini,S4P2_1,3.28695587,-1.552449602
S4P2_27589,5706.3,18794.8,Fibroblast,S4P2_1,-5.780089342,-0.507908631
S4P2_27590,5820.6,18790.6,Others,S4P2_1,-5.708305322,-2.553173679
S4P2_27591,5761.4,18795.8,Others,S4P2_1,-4.966134035,-2.339691538
S4P2_27592,5398.1,18796.7,Others,S4P2_1,5.143573798,0.117447135
S4P2_27593,5438,18794.8,NK cells,S4P2_1,-3.798422062,-2.743530411
S4P2_27594,5363.4,18796.2,Others,S4P2_1,-3.836863243,-2.998786825
S4P2_27595,5453.9,18797.3,Others,S4P2_1,5.33028797,0.312086296
S4P2_27596,5475.8,18797.8,Others,S4P2_1,5.430074728,0.37917034
S4P2_27597,5444.7,18798.8,Others,S4P2_1,4.386940039,0.212079715
S4P2_27598,5507.2,18795.6,Others,S4P2_1,4.072699107,0.05475704
S4P2_27599,5637.1,18801,DC cells,S4P2_1,3.453623331,-0.053115208
S4P2_27600,5570.7,18798.9,Myoepithelial,S4P2_1,1.789264,0.588668686
S4P2_27601,5837.9,18794.3,Others,S4P2_1,-5.620298349,-2.584603209
S4P2_27602,5346.8,18797.3,Others,S4P2_1,-4.019752227,-2.944621939
S4P2_27603,5411.9,18804.2,Others,S4P2_1,3.131244934,-1.127882618
S4P2_27604,5579.1,18796.3,Acini,S4P2_1,3.113591469,-2.091653246
S4P2_27605,5827.1,18800.6,Others,S4P2_1,-5.825844728,-2.50765695
S4P2_27606,5589.9,18797.7,Acini,S4P2_1,3.256990231,-2.066211599
S4P2_27607,5561.2,18802,NK cells,S4P2_1,5.141691721,-0.026025649
S4P2_27608,5491.5,18799.8,Others,S4P2_1,5.04364065,0.556715947
S4P2_27609,5499.5,18802.8,Others,S4P2_1,5.189675368,0.994929772
S4P2_27610,5426.2,18802.4,Others,S4P2_1,5.33080963,0.546837193
S4P2_27611,5539.9,18800,Others,S4P2_1,2.099987305,-1.977400083
S4P2_27612,5702.7,18807.2,Others,S4P2_1,-4.938650095,-2.282861847
S4P2_27613,5689.5,18804,Others,S4P2_1,-4.81207987,-2.348246235
S4P2_27614,5771.2,18806.4,Others,S4P2_1,-4.916952097,-2.339606184
S4P2_27615,5524.2,18803.8,Others,S4P2_1,2.340628661,-1.5229217
S4P2_27616,5552.2,18804.2,Tc,S4P2_1,-0.794967138,-1.089311975
S4P2_27617,5835,18808,Others,S4P2_1,-5.862641775,-2.388670582
S4P2_27618,5585.1,18810,Others,S4P2_1,3.778391636,-0.14294954
S4P2_27619,5799.8,18805.1,Others,S4P2_1,5.022171057,0.654900652
S4P2_27620,5812.3,18806.2,Others,S4P2_1,4.998940028,0.64967553
S4P2_27621,5486,18807.5,Others,S4P2_1,5.221799887,0.566290897
S4P2_27622,5546.2,18807.8,Others,S4P2_1,4.924969233,0.479798299
S4P2_27623,5675.4,18810.4,Others,S4P2_1,-4.828094446,-2.322447914
S4P2_27624,5468.5,18807.1,Others,S4P2_1,5.333007372,0.773349684
S4P2_27625,5478.2,18806.7,Others,S4P2_1,4.920620478,0.758390051
S4P2_27626,5787.4,18803.5,Others,S4P2_1,3.072560109,-0.758806545
S4P2_27627,5497.6,18810.8,Others,S4P2_1,5.264093436,0.89421646
S4P2_27628,5846.9,18809.6,Others,S4P2_1,-5.197642767,-2.394950527
S4P2_27629,5625.4,18810.1,Others,S4P2_1,6.214738406,1.459500056
S4P2_27630,5560.9,18813.5,Acini,S4P2_1,2.80678109,-2.534080166
S4P2_27631,5427.6,18810.6,Others,S4P2_1,5.339967287,0.340120297
S4P2_27632,5860.9,18813.6,Others,S4P2_1,-5.897898637,-2.902912992
S4P2_27633,5445.6,18810.3,Others,S4P2_1,2.766117371,-1.176829833
S4P2_27634,5825.2,18812.9,Others,S4P2_1,5.46158222,0.954694134
S4P2_27635,5458.3,18810.3,Others,S4P2_1,5.389943636,0.428589415
S4P2_27636,5787,18817.2,Others,S4P2_1,4.276736296,0.84600113
S4P2_27637,5476.4,18815.7,Others,S4P2_1,3.13255576,1.16262899
S4P2_27638,5433.3,18814.8,Others,S4P2_1,5.421761073,0.147050467
S4P2_27639,5511.8,18815.1,Others,S4P2_1,4.759628333,0.420417618
S4P2_27640,5544.3,18818.6,Myoepithelial,S4P2_1,4.697774447,0.503989082
S4P2_27641,5451.4,18817.2,Others,S4P2_1,1.518703378,2.375143391
S4P2_27642,5799.3,18818.9,Others,S4P2_1,5.109307803,0.7797396
S4P2_27643,5358.4,18816.1,Others,S4P2_1,-4.287609541,-2.428273815
S4P2_27644,5462.4,18819.8,DC cells,S4P2_1,-3.564489328,4.276218992
S4P2_27645,5495.7,18821.4,Others,S4P2_1,5.464597739,0.199182492
S4P2_27646,5441.2,18822.5,Others,S4P2_1,5.084528006,0.527545911
S4P2_27647,5606.9,18820.9,Others,S4P2_1,5.357151545,0.874754113
S4P2_27648,5849.2,18822.4,Others,S4P2_1,-4.211681806,-2.776304859
S4P2_27649,5812.3,18822.5,Others,S4P2_1,5.514443911,1.054937583
S4P2_27650,5482.6,18823.3,Others,S4P2_1,1.219967283,1.150858265
S4P2_27651,5504.2,18821,Myoepithelial,S4P2_1,-0.080270902,2.173578602
S4P2_27652,5624.6,18821.8,VEC,S4P2_1,-4.409778558,3.942779165
S4P2_27653,5429.8,18826.8,Others,S4P2_1,2.463661707,-1.691000837
S4P2_27654,5574.3,18823.8,Acini,S4P2_1,3.1822832,-1.999021787
S4P2_27655,5828.7,18825.4,Others,S4P2_1,4.388849295,-0.934891659
S4P2_27656,5531.8,18820.5,Others,S4P2_1,6.211718596,1.330137354
S4P2_27657,5593,18825.4,Others,S4P2_1,4.926617182,1.467420202
S4P2_27658,5459.4,18826.7,Others,S4P2_1,5.070793188,0.744955939
S4P2_27659,5372.1,18823.7,Others,S4P2_1,2.958554305,-0.77642836
S4P2_27660,5508.8,18828.4,Myoepithelial,S4P2_1,2.400451458,-1.661929029
S4P2_27661,5520.4,18826.3,Others,S4P2_1,6.175702132,0.672058803
S4P2_27662,5449.7,18830.8,Others,S4P2_1,2.822627104,1.04258464
S4P2_27663,5617.5,18831.2,Others,S4P2_1,6.300547636,1.489319902
S4P2_27664,5349,18828.9,Others,S4P2_1,-3.946558677,-2.836660284
S4P2_27665,5417.1,18827.9,Others,S4P2_1,2.186947144,-1.798545021
S4P2_27666,5536.1,18829,Myoepithelial,S4P2_1,2.819438733,2.353892666
S4P2_27667,5646.9,18828,Others,S4P2_1,-4.759384119,-2.363775867
S4P2_27668,5803.6,18829.2,Others,S4P2_1,4.37392906,-0.808619219
S4P2_27669,5545.2,18829.7,Others,S4P2_1,3.423769511,2.752862316
S4P2_27670,5335.3,18836.2,Others,S4P2_1,-4.434723341,-2.502840895
S4P2_27671,5469.4,18828.1,VEC Progen,S4P2_1,-2.959418975,4.09359656
